Year_x,Country_x,Song,Artist_x,Songwriter(s),Running Order,Semi Final Points,Total Points,Location,#,Country_y,#.1,Artist_y,Language,Pl.,Sc.,Eurovision_Number,Year_y,Host_Country,Host_City,Lyrics,lyrics
1993,Ireland,In Your Eyes,Niamh Kavanagh,Jimmy Walsh,14.0,,187.0,Millstreet,665,Ireland,28,Niamh Kavanagh,English,1,187,38,1993,Ireland,Millstreet,"Showing no emotion
My feelings locked inside
I made myself an island
Trying to take my heart and hide

I built a wall around me
Afraid of letting go
But suddenly an open door
I never saw before

In your eyes
I see the light
Leading me home again
It's heaven in your arms, my love
My heart is in your hands
In your eyes
Seems so right
I see forever in your smile
This woman is a child again
(In your eyes)

Love's been building bridges
Between your heart and mine
I'm safe here on my island
But I'm out on the edge this time
I built a wall around me
Thought I'd save myself the pain
Your touch swept me away
Now I'll never play it safe again

In your eyes
I see the light
Leading me home again
It's heaven in your arms, my love
My heart is in your hands
In your eyes
Seems so right
I see forever in your smile
This woman is a child again

I've never been this close
How do I know love will survive?
I'm walking a tightrope
Here in your arms I'm alive

I'm in your eyes
I see the light
I see forever in your smile
This woman is a child again

I'm in your eyes
I see the light
I see the light
Whoa...
I see forever in your smile
This woman is a child again
When I look in your eyes","Showing no emotion
My feelings locked inside
I made myself an island
Trying to take my heart and hide

I built a wall around me
Afraid of letting go
But suddenly an open door
I never saw before

In your eyes
I see the light
Leading me home again
It's heaven in your arms, my love
My heart is in your hands
In your eyes
Seems so right
I see forever in your smile
This woman is a child again
(In your eyes)

Love's been building bridges
Between your heart and mine
I'm safe here on my island
But I'm out on the edge this time
I built a wall around me
Thought I'd save myself the pain
Your touch swept me away
Now I'll never play it safe again

In your eyes
I see the light
Leading me home again
It's heaven in your arms, my love
My heart is in your hands
In your eyes
Seems so right
I see forever in your smile
This woman is a child again

I've never been this close
How do I know love will survive?
I'm walking a tightrope
Here in your arms I'm alive

I'm in your eyes
I see the light
I see forever in your smile
This woman is a child again

I'm in your eyes
I see the light
I see the light
Whoa...
I see forever in your smile
This woman is a child again
When I look in your eyes"
1994,Ireland,Rock 'n' Roll Kids,Paul Harrington and Charlie McGettigan,Brendan Graham,3.0,,226.0,Dublin,679,Ireland,29,Paul Harrington & Charlie McGettigan,English,1,226,39,1994,Ireland,Dublin,"I remember '62
I was sixteen and so were you
And we lived next door,
On the avenue.
Jerry Lee was big and Elvis too;
Blue jeans and blue suede shoes,
And we never knew
What life held in store.
We just wanted to rock 'n' roll forever more.

We were the Rock 'n' Roll Kids
And Rock 'n' Roll was all we did
And listening to those songs on the radio;
I was yours and you were mine
But that was once upon a time,
Now we never seem to Rock 'n' Roll anymore.

Now Johnny's in love with the girl next door,
And Mary's down at the record store,
They don't want to be... Around us no more.
""Golden Oldies"" but we hardly speak
Too busy running to a different beat
Hard to understand, we were once like them.
How I wish we could find those Rock 'n' Roll days again.

We were the Rock 'n' Roll Kids
And Rock 'n' Roll was all we did,
And listening to those songs on the radio;
I was yours and you were mine,
But that was once upon a time,
Now we never seem to Rock and Roll anymore.

I was yours and you were mine
That was once upon a time,
Now we never seem to Rock and Roll...

We just never seem to Rock and Roll anymore.","I remember '62
I was sixteen and so were you
And we lived next door,
On the avenue.
Jerry Lee was big and Elvis too;
Blue jeans and blue suede shoes,
And we never knew
What life held in store.
We just wanted to rock 'n' roll forever more.

We were the Rock 'n' Roll Kids
And Rock 'n' Roll was all we did
And listening to those songs on the radio;
I was yours and you were mine
But that was once upon a time,
Now we never seem to Rock 'n' Roll anymore.

Now Johnny's in love with the girl next door,
And Mary's down at the record store,
They don't want to be... Around us no more.
""Golden Oldies"" but we hardly speak
Too busy running to a different beat
Hard to understand, we were once like them.
How I wish we could find those Rock 'n' Roll days again.

We were the Rock 'n' Roll Kids
And Rock 'n' Roll was all we did,
And listening to those songs on the radio;
I was yours and you were mine,
But that was once upon a time,
Now we never seem to Rock and Roll anymore.

I was yours and you were mine
That was once upon a time,
Now we never seem to Rock and Roll...

We just never seem to Rock and Roll anymore."
1995,Norway,Nocturne,Secret Garden,"Rolf Løvland
Petter Skavlan",5.0,,148.0,Dublin,706,Norway,35,Secret Garden,Norwegian,1,148,40,1995,Ireland,Dublin,"[Verse 1 - Intro]
La dagen få sin hvile nå
Og natten vil våke for den
Nocturne

[Instrumental]

[Verse 2 - Outro]
Selv mørket må en gang forgå
Så natten kan føde en dag","Let day have
it's rest now
and night will wake over it
Nocturne See the darkness must
At one point end
So the night can give birth to a day"
1996,Ireland,The Voice,Eimear Quinn,Brendan Graham,17.0,,162.0,Oslo,741,Ireland,31,Eimear Quinn,English,1,162,41,1996,Norway,Oslo,"I hear your voice on the wind
And I hear you call out my name

""Listen my child,"" You say to me,""I am the voice of your history
'Be not afraid come follow me. Answer my call and I'll set you free.""

I am the voice in the wind and the pouring rain
I am the voice of your hunger and pain
I am the voice that always is calling you
I am the voice, I will remain

I am the voice in the fields when the summer's gone;
The dance of the leaves when the Autumn winds blow
Ne'er do I sleep throughout all the cold Winter long
I am the force that in Springtime will grow

I am the voice of the past that will always be;
Filled with my sorrows and blood in my fields
I am the voice of the future
Bring me your peace
Bring me your peace and my wounds they will heal

I am the voice in the wind and the pouring rain
I am the voice of your hunger and pain
I am the voice that always is calling you
I am the voice

I am the voice of the past that will always be
I am the voice of your hunger and pain
I am the voice of the future
I am the voice
I am the voice
I am the voice
I am the voice","I hear your voice on the wind
And I hear you call out my name

""Listen my child,"" You say to me,""I am the voice of your history
'Be not afraid come follow me. Answer my call and I'll set you free.""

I am the voice in the wind and the pouring rain
I am the voice of your hunger and pain
I am the voice that always is calling you
I am the voice, I will remain

I am the voice in the fields when the summer's gone;
The dance of the leaves when the Autumn winds blow
Ne'er do I sleep throughout all the cold Winter long
I am the force that in Springtime will grow

I am the voice of the past that will always be;
Filled with my sorrows and blood in my fields
I am the voice of the future
Bring me your peace
Bring me your peace and my wounds they will heal

I am the voice in the wind and the pouring rain
I am the voice of your hunger and pain
I am the voice that always is calling you
I am the voice

I am the voice of the past that will always be
I am the voice of your hunger and pain
I am the voice of the future
I am the voice
I am the voice
I am the voice
I am the voice"
1997,United Kingdom,Love Shine a Light,Katrina and the Waves,Kimberley Rew,24.0,,227.0,Dublin,771,United Kingdom,40,Katrina & The Waves,English,1,227,42,1997,Ireland,Dublin,"[Verse 1]
Love shine a light in every corner of my heart
Let the love light carry, let the love light carry
Light up the magic in every little part
Let our love shine a light in every corner of our hearts

[Verse 2]
Love shine a light in every corner of my dream
Let the love light carry, let the love light carry
Like the mighty river flowing from the stream
Let our love shine a light in every comer of our dreams

[Chorus]
And we're all gonna shine a light together
All shine a light to light the way
Brothers and sisters in every little part
Let our love shine a light in every corner of our hearts

[Verse 3]
Love shine a light in every corner of the world
Let the love light carry, let the love light carry
Light up the magic for every boy and girl
Let our love shine a light in every corner of the world

[Chorus]
And we're all gonna shine a light together
All shine a light to light the way
Brothers and sisters in every little part
Let our love shine a light in every corner of our hearts
And we're all gonna shine a light together
All shine a light to light the way
Brothers and sisters in every little part
Let our love shine a light in every corner of our hearts

[Outro]
Shine a light in every corner of our hearts","[Verse 1]
Love shine a light in every corner of my heart
Let the love light carry, let the love light carry
Light up the magic in every little part
Let our love shine a light in every corner of our hearts

[Verse 2]
Love shine a light in every corner of my dream
Let the love light carry, let the love light carry
Like the mighty river flowing from the stream
Let our love shine a light in every comer of our dreams

[Chorus]
And we're all gonna shine a light together
All shine a light to light the way
Brothers and sisters in every little part
Let our love shine a light in every corner of our hearts

[Verse 3]
Love shine a light in every corner of the world
Let the love light carry, let the love light carry
Light up the magic for every boy and girl
Let our love shine a light in every corner of the world

[Chorus]
And we're all gonna shine a light together
All shine a light to light the way
Brothers and sisters in every little part
Let our love shine a light in every corner of our hearts
And we're all gonna shine a light together
All shine a light to light the way
Brothers and sisters in every little part
Let our love shine a light in every corner of our hearts

[Outro]
Shine a light in every corner of our hearts"
1998,Israel,Diva (דיווה),Dana International,"Svika Pick
Yoav Ginai",8.0,,172.0,Birmingham,780,Israel,21,Dana International,Hebrew,1,172,43,1998,United Kingdom,Birmingham,"[בית 1]
יש אישה גדולה מהחיים
יש חושים שיש רק לה
יש קסמים ויש ימים קשים
ובמה שהיא כולה שלה

[טרום-פזמון]
למלאכים דיווה היא אימפריה
על הבמה דיווה היא היסטריה
היא כולה שיר אהבה

[פזמון]
ויוה נריע, ויוה ויקטוריה, אפרודיטה
ויוה לדיווה, ויוה ויקטוריה, קליאופטרה

[בית 2]
יש נשים, דמעות של החיים
הן ישאו תפילה ללא מילים

[טרום-פזמון]
למלאכים דיווה היא אימפריה
על הבמה דיווה היא היסטריה
היא כולה שיר אהבה

[פזמון]
ויוה נריע, ויוה ויקטוריה, אפרודיטה
ויוה לדיווה, ויוה ויקטוריה, קליאופטרה
ויוה נריע, ויוה ויקטוריה, אפרודיטה
ויוה לדיווה, ויוה ויקטוריה, קליאופטרה
או, או....
ויוה נריע, ויוה ויקטוריה, אפרודיטה
ויוה לדיווה, ויוה ויקטוריה, קליאופטרה

ויוה, ויוה
ויוה נריע, ויוה ויקטוריה, אפרודיטה
ויוה לדיווה, ויוה ויקטוריה, קליאופטרה
!ויוה","There is a woman who is bigger than life
She has sense nobody else has
There are magics and there are though days
And a stage which is all hers
For the angels Diva is an empire
On the stage Diva is a histery
She ias all a love song

Diva, we shall shout in joy
Diva Victoria
Aprodita
Viva for Diva
Viva Victoria
Cleopatra

There are women, tears of life
They will carry out a prayer with no words
For the angels Diva is an empire
On the stage Diva is a histery
She is all a love song

Diva, we shall shout in joy
Diva Victoria
Aprodita
Viva for Diva
Viva Victoria
Cleopatra

Version 2

She is all
You ever dream to find
On her stage
She sings her story
Pain and hurt
Will steal her heart tonight
Like a queen
In all her glory

And when she cries
Diva is an Angel
When she laughs
She's a Devil
She is all
Beauty and love

Viva maria
Viva Victoria
Aphrodita
Viva la diva
Viva Victoria
Cleopatra

Silent tears
Drop from these eyes tonight
Tears of prayer
For all those aching hearts

And when she cries
Diva is an Angel
When she laughs
She's a Devil
She is all
Beauty and love (love)

Viva maria
Viva Victoria
Aphrodita
Viva la diva
Viva Victoria
Cleopatra

Viva maria
Viva Victoria
Aphrodita
Viva la diva
Viva Victoria
Cleopatra

Diva
Diva
Diva
Diva

Viva maria
Viva Victoria
Aphrodita
Viva la diva
Viva Victoria
Cleopatra

Viva maria
Viva victoria
Aphrodita
Viva Victoria
Diva!"
1999,Sweden,Take Me to Your Heaven,Charlotte Nilsson,"Lars Diedricson
Marcos Ubeda",15.0,,163.0,Jerusalem,812,Sweden,39,Charlotte Nilsson (Perrelli),English,1,163,44,1999,Israel,Jerusalem,"[Verse 1]
Shadows dancing slowly on my wall
Moonlight painting silver to the
Sound of heartbeat
Magical emotions take control
Knowing we will meet before the night is over

[Pre-Chorus]
Then I gonna make you mine
Love you till the end of time

[Chorus]
Take me to your heaven
Hold on to a dream
Take me to your heaven
When my nights are cold and lonely
Flying high together
On a journey to the stars
Won't you take me to your heaven, to your heart

[Verse 2]
I can feel your body next to mine
Reaching for a kiss that keeps me warm and tender
Seven steps to heaven, show the way
When I'm there I give myself the sweet surrender

[Pre-Chorus]
Then I gonna make you mine
Love you till the end of time

[Chorus]
Take me to your heaven
Hold on to a dream
Take me to your heaven
When my nights are cold and lonely
Flying high together
On a journey to the stars
Won't you take me to your heaven, to your heart

[Bridge]
As dawn is breaking, there is so much more to say
So will you be my one and only
When nights are lonely
Hold on time forever

[Chorus]
Take me to your heaven
Hold on to a dream
Take me to your heaven
When my nights are cold and lonely
Flying high together
On a journey to the stars
Won't you take me to your heaven, to your heart

[Outro]
(Woah)
Won't you take me to your heaven, to your heart","[Verse 1]
Shadows dancing slowly on my wall
Moonlight painting silver to the
Sound of heartbeat
Magical emotions take control
Knowing we will meet before the night is over

[Pre-Chorus]
Then I gonna make you mine
Love you till the end of time

[Chorus]
Take me to your heaven
Hold on to a dream
Take me to your heaven
When my nights are cold and lonely
Flying high together
On a journey to the stars
Won't you take me to your heaven, to your heart

[Verse 2]
I can feel your body next to mine
Reaching for a kiss that keeps me warm and tender
Seven steps to heaven, show the way
When I'm there I give myself the sweet surrender

[Pre-Chorus]
Then I gonna make you mine
Love you till the end of time

[Chorus]
Take me to your heaven
Hold on to a dream
Take me to your heaven
When my nights are cold and lonely
Flying high together
On a journey to the stars
Won't you take me to your heaven, to your heart

[Bridge]
As dawn is breaking, there is so much more to say
So will you be my one and only
When nights are lonely
Hold on time forever

[Chorus]
Take me to your heaven
Hold on to a dream
Take me to your heaven
When my nights are cold and lonely
Flying high together
On a journey to the stars
Won't you take me to your heaven, to your heart

[Outro]
(Woah)
Won't you take me to your heaven, to your heart"
2000,Denmark,Fly on the Wings of Love,Olsen Brothers,Jørgen Olsen,14.0,,195.0,Stockholm,834,Denmark,30,Olsen Brothers,English,1,195,45,2000,Sweden,Stockholm,"In the summernight, when the moon shines bright
Feeling love forever
And the heat is on, when the daylight's gone
Still happy together

There's just one more thing I'd like to add
She's the greatest love I've ever had

Fly on the wings of love
Fly baby fly
Reaching the stars above
Touching the sky

And as time goes by, there's a lot to try
And I'm feeling lucky
In the warmest sand, smiling hand in hand
Love is all around me

There's just one more thing I'd like to add
She's the greatest love I've ever had

Fly on the wings of love
Fly baby fly
Reaching the stars above
Touching the sky","In the summernight, when the moon shines bright
Feeling love forever
And the heat is on, when the daylight's gone
Still happy together

There's just one more thing I'd like to add
She's the greatest love I've ever had

Fly on the wings of love
Fly baby fly
Reaching the stars above
Touching the sky

And as time goes by, there's a lot to try
And I'm feeling lucky
In the warmest sand, smiling hand in hand
Love is all around me

There's just one more thing I'd like to add
She's the greatest love I've ever had

Fly on the wings of love
Fly baby fly
Reaching the stars above
Touching the sky"
2001,Estonia,Everybody,"Tanel Padar, Dave Benton and 2XL","Ivar Must
Maian-Anna Kärmas",20.0,,198.0,Copenhagen,864,Estonia,7,"Tanel Padar, Dave Benton & 2XL",English,1,198,46,2001,Denmark,Copenhagen,"All right - Hey hey
Well, are you ready? - You bet
But are you ready? - Oh yeah
All right - You give it to them now

Well, every night's a Friday night - Aha, what night?
Ladies, this sure feels right - I guess this is party time
The two of us will sing again - Two of us together again
The heart is young and we know when - Young and handsome, they say
Come on, Dave

To kick the sadness out the door - To kick the sadness out the door
And roll the carpet from the floor - Haha, carpet from the floor, yeah
Let the spirit hit the roof - I hit the roof, I hit the roof
The two of us still know the moves

And not even time can take away
The starlight from us, no, it won't fade
Still we believe that we
Were made to laugh and sing

Come on, everybody, let's sing along
And feel the power of a song
Come on, everybody, let's feel the spark
That always stays within our hearts

Come on, everybody, and let it out
And live the moment, here and now
Come on, everybody, 'cause here's a chance
To feel so light, to laugh and dance

A little rollercoaster ride - He's goin' for a ride now
Right into the starry night - Around and around and around we go
And leave the windows open wide - Why nobody can't stay?
And let the music pour inside - Aha

Not even time can take away
The starlight from us, no, it won't fade
Still we believe that we
Were made to laugh and sing

Come on, everybody, let's sing along
And feel the power of a song
Come on, everybody, let's feel the spark
That always stays within our hearts

Come on, everybody, and let it out
And live the moment, here and now
Come on, everybody, 'cause here's a chance
To feel so light, to laugh and dance

Look at us now here together again
We started out long time ago - We knew back then
The music within us could never, could never end
All right

Oh yeah... - Let's sing along
Y'all come on - Come on, everybody
Come on, come on - Na na na na yeah yeah...
Come on, come on - One more time, yeah

Come on, everybody, let's sing along
And feel the power of a song
Come on, everybody, let's feel the spark
That always stays within our hearts

Come on, everybody, and let it out
And live the moment, here and now
Come on, everybody, 'cause here's a chance
To feel so light, to laugh and dance

Come on, everybody, let's sing along","All right - Hey hey
Well, are you ready? - You bet
But are you ready? - Oh yeah
All right - You give it to them now

Well, every night's a Friday night - Aha, what night?
Ladies, this sure feels right - I guess this is party time
The two of us will sing again - Two of us together again
The heart is young and we know when - Young and handsome, they say
Come on, Dave

To kick the sadness out the door - To kick the sadness out the door
And roll the carpet from the floor - Haha, carpet from the floor, yeah
Let the spirit hit the roof - I hit the roof, I hit the roof
The two of us still know the moves

And not even time can take away
The starlight from us, no, it won't fade
Still we believe that we
Were made to laugh and sing

Come on, everybody, let's sing along
And feel the power of a song
Come on, everybody, let's feel the spark
That always stays within our hearts

Come on, everybody, and let it out
And live the moment, here and now
Come on, everybody, 'cause here's a chance
To feel so light, to laugh and dance

A little rollercoaster ride - He's goin' for a ride now
Right into the starry night - Around and around and around we go
And leave the windows open wide - Why nobody can't stay?
And let the music pour inside - Aha

Not even time can take away
The starlight from us, no, it won't fade
Still we believe that we
Were made to laugh and sing

Come on, everybody, let's sing along
And feel the power of a song
Come on, everybody, let's feel the spark
That always stays within our hearts

Come on, everybody, and let it out
And live the moment, here and now
Come on, everybody, 'cause here's a chance
To feel so light, to laugh and dance

Look at us now here together again
We started out long time ago - We knew back then
The music within us could never, could never end
All right

Oh yeah... - Let's sing along
Y'all come on - Come on, everybody
Come on, come on - Na na na na yeah yeah...
Come on, come on - One more time, yeah

Come on, everybody, let's sing along
And feel the power of a song
Come on, everybody, let's feel the spark
That always stays within our hearts

Come on, everybody, and let it out
And live the moment, here and now
Come on, everybody, 'cause here's a chance
To feel so light, to laugh and dance

Come on, everybody, let's sing along"
2002,Latvia,I Wanna,Marie N,"Marija Naumova
Marats Samauskis",23.0,,176.0,Tallinn,890,Latvia,3,Marie N,English,1,176,47,2002,Estonia,Tallinn,"I'd like to go away, but it's easier to stay
That you know all the tricks that make that make stay
I`m ready to support this art-full game you always play
'Cause you don`t know the fee which you will later, later pay

Today you think you are the winner
Today you think you are the king
You make me sweat in my emotions
Under your fly-away, fly-away wing

I wanna be the sun-shine in your arms
I wanna be the light from shooting stars
I wanna be the Queen in your sweet lies
I wanna be the love-spark in your eyes

I like a simple game, but it`s just easier to say
That you own all that rules your crazy, crazy way
And even through you`ll go like to do what ever what ever you may
Just remember it`s me who finds you when, when you was stray

Today you think you are the winner
Today you think you are the king
You make me sweat in my emotions
Under your fly-away, fly-away wing

I wanna be the sun-shine in your arms
I wanna be the light from shooting stars
I wanna be the Queen in your sweet lies
I wanna be the love-spark in your eyes","I'd like to go away, but it's easier to stay
That you know all the tricks that make that make stay
I`m ready to support this art-full game you always play
'Cause you don`t know the fee which you will later, later pay

Today you think you are the winner
Today you think you are the king
You make me sweat in my emotions
Under your fly-away, fly-away wing

I wanna be the sun-shine in your arms
I wanna be the light from shooting stars
I wanna be the Queen in your sweet lies
I wanna be the love-spark in your eyes

I like a simple game, but it`s just easier to say
That you own all that rules your crazy, crazy way
And even through you`ll go like to do what ever what ever you may
Just remember it`s me who finds you when, when you was stray

Today you think you are the winner
Today you think you are the king
You make me sweat in my emotions
Under your fly-away, fly-away wing

I wanna be the sun-shine in your arms
I wanna be the light from shooting stars
I wanna be the Queen in your sweet lies
I wanna be the love-spark in your eyes"
2003,Turkey,Everyway That I Can,Sertab Erener,"Demir Demirkan
Sertab Erener",4.0,,167.0,Riga,895,Turkey,25,Sertab Erener,English,1,167,48,2003,Latvia,Riga,"[Verse 1]
I feel you moving on a different course
Making a way for a distant cause
You say you love me and you roll your eyes
Turn to stare at the empty skies
I thought it was over and we passed all that
All we've done is to pass back to frame number one
Come on, now, now
I want to show you all again what it would be like
If you just let go and let me love you

[Chorus]
Every way that I can
I'll try to make you love me again
Every way that I can
I'll give you all my love and then
Every way that I can
I'll cry, I'll try
Make you mine again

[Verse 2]
Hold me closer, oh, so good
You make me feel just like I should
I know what you're thinking: uhuh good
Now the rest of the world is overruled
Tell me what you see in other girls all around
Come on closer and tell me what you don't find here
Come on, now, now
I want to be the everything you've been missing out
Just let go and let me love you

[Chorus]
Every way that I can
I'll try to make you love me again
Every way that I can
I'll give you all my love and then
Every way that I can
I'll cry, I'll try
Make you mine again

[Bridge]
I'm in love with you
I'll do all you want me to
You make me want to huhuh
Make me want to huhuhuh
I'm in love with you
I'll do all you want me to
You make me want to huhuh
Make me want to huhuhuh

[Interlude]
Nothing in the world that could stop me, no sir
Nothing in the world that could stop me, no sir
Nothing in the world that could stop me, no sir
Nothing in the world that could stop me, no sir
No, no, no, no, no

[Chorus]
Every way that I can
I'll try to make you love me again
Every way that I can
I'll give you all my love and then
Every way that I can
I'll cry, I'll try
Make you mine again","[Verse 1]
I feel you moving on a different course
Making a way for a distant cause
You say you love me and you roll your eyes
Turn to stare at the empty skies
I thought it was over and we passed all that
All we've done is to pass back to frame number one
Come on, now, now
I want to show you all again what it would be like
If you just let go and let me love you

[Chorus]
Every way that I can
I'll try to make you love me again
Every way that I can
I'll give you all my love and then
Every way that I can
I'll cry, I'll try
Make you mine again

[Verse 2]
Hold me closer, oh, so good
You make me feel just like I should
I know what you're thinking: uhuh good
Now the rest of the world is overruled
Tell me what you see in other girls all around
Come on closer and tell me what you don't find here
Come on, now, now
I want to be the everything you've been missing out
Just let go and let me love you

[Chorus]
Every way that I can
I'll try to make you love me again
Every way that I can
I'll give you all my love and then
Every way that I can
I'll cry, I'll try
Make you mine again

[Bridge]
I'm in love with you
I'll do all you want me to
You make me want to huhuh
Make me want to huhuhuh
I'm in love with you
I'll do all you want me to
You make me want to huhuh
Make me want to huhuhuh

[Interlude]
Nothing in the world that could stop me, no sir
Nothing in the world that could stop me, no sir
Nothing in the world that could stop me, no sir
Nothing in the world that could stop me, no sir
No, no, no, no, no

[Chorus]
Every way that I can
I'll try to make you love me again
Every way that I can
I'll give you all my love and then
Every way that I can
I'll cry, I'll try
Make you mine again"
2005,Greece,My Number One,Helena Paparizou,"Manos Psaltakis
Christos Dantis
Natalia Germanou",19.0,,230.0,Kyiv,989,Greece,26,Helena Paparizou,English,1,230,50,2005,Ukraine,Kiev,"[Verse 1]
You're my lover, undercover
You're my sacred passion and I have no other
You're delicious, so capricious
If I find out you don't want me I'll be vicious
Say you love me and you'll have me
In your arms forever and I won't forget it
Say you miss me, come and kiss me
Take me up to heaven and you won't regret it

[Chorus]
You are the one, you're my number one
The only treasure I'll ever have
You are the one, you're my number one
Anything for you 'cause you're the one I love

[Post-Chorus]
You're my lover, undercover
You're my sacred passion and I have no other

[Verse 2]
You're a fire and desire
When I kiss your lips, you know, you take me higher
You're addiction, my conviction
You're my passion, my relief, my crucifixion
Never leave me and believe me
You will be the sun into my raining season
Never leave me and believe me
In my empty life you'll be the only reason

[Chorus]
You are the one, you're my number one
The only treasure I'll ever have
You are the one, you're my number one
Anything for you 'cause you're the one I love

[Post-Chorus]
You're my lover, undercover
You're my sacred passion and I have no other

[Chorus]
You are the one, you're my number one
The only treasure I'll ever have
You are the one, you're my number one
Anything for you 'cause you're the one I love

[Post-Chorus]
You're my lover, undercover
You're my sacred passion and I have no other","[Verse 1]
You're my lover, undercover
You're my sacred passion and I have no other
You're delicious, so capricious
If I find out you don't want me I'll be vicious
Say you love me and you'll have me
In your arms forever and I won't forget it
Say you miss me, come and kiss me
Take me up to heaven and you won't regret it

[Chorus]
You are the one, you're my number one
The only treasure I'll ever have
You are the one, you're my number one
Anything for you 'cause you're the one I love

[Post-Chorus]
You're my lover, undercover
You're my sacred passion and I have no other

[Verse 2]
You're a fire and desire
When I kiss your lips, you know, you take me higher
You're addiction, my conviction
You're my passion, my relief, my crucifixion
Never leave me and believe me
You will be the sun into my raining season
Never leave me and believe me
In my empty life you'll be the only reason

[Chorus]
You are the one, you're my number one
The only treasure I'll ever have
You are the one, you're my number one
Anything for you 'cause you're the one I love

[Post-Chorus]
You're my lover, undercover
You're my sacred passion and I have no other

[Chorus]
You are the one, you're my number one
The only treasure I'll ever have
You are the one, you're my number one
Anything for you 'cause you're the one I love

[Post-Chorus]
You're my lover, undercover
You're my sacred passion and I have no other"
2006,Finland,Hard Rock Hallelujah,Lordi,Lordi,17.0,292.0,292.0,Athens,1008,Finland,40,Lordi,English,1,292,51,2006,Greece,Athens,"[Intro]
Hard rock, hallelujah!
Hard rock, hallelujah!
Hard rock, hallelujah!
Hard rock, hallelujah!

[Verse 1]
The saints are crippled on this sinners' night
Lost are the lambs with no guiding light
The walls come down like thunder, the rock's about to roll
It's the arockalypse, now bare your soul

[Pre-Chorus]
All we need is lightning with power and might
Striking down the prophets of false
As the moon is rising, give us the sign
Now let us rise up in awe

[Chorus]
Rock 'n roll angels bring thyn hard rock, hallelujah
Demons and angels, all in one have arrived
Rock 'n roll angels bring thyn hard rock, hallelujah
In God's creation, supernatural high

[Verse 2]
The true believers thou shall be saved
Brothers and sisters, keep strong in the faith
On the day of Rockoning it's who dares, wins
You will see the jokers soon'll be the new kings

[Pre-Chorus]
All we need is lightning with power and might
Striking down the prophets of false
As the moon is rising, give us the sign
Now let us rise up in awe

[Chorus]
Rock 'n roll angels bring thyn hard rock, hallelujah
Demons and angels, all in one have arrived
Rock 'n roll angels bring thyn hard rock, hallelujah
In God's creation, supernatural high

[Bridge]
Wings on my back, I got horns on my head
My fangs are sharp and my eyes are red
Not quite an angel or the one that fell
Now choose to join us or go straight to Hell
Hard rock, hallelujah!
Hard rock, hallelujah!
Hard rock hallelujah!
Hard rock, yeah!

[Chorus]
Rock 'n roll angels bring thyn hard rock, hallelujah
Demons and angels, all in one have arrived
Rock 'n roll angels bring thyn hard rock, hallelujah
In God's creation, supernatural high
Rock 'n roll angels bring thyn hard rock, hallelujah
Rock 'n roll angels bring thyn hard rock, hallelujah

[Outro]
Hard rock, hallelujah!
Hard rock, hallelujah!","[Intro]
Hard rock, hallelujah!
Hard rock, hallelujah!
Hard rock, hallelujah!
Hard rock, hallelujah!

[Verse 1]
The saints are crippled on this sinners' night
Lost are the lambs with no guiding light
The walls come down like thunder, the rock's about to roll
It's the arockalypse, now bare your soul

[Pre-Chorus]
All we need is lightning with power and might
Striking down the prophets of false
As the moon is rising, give us the sign
Now let us rise up in awe

[Chorus]
Rock 'n roll angels bring thyn hard rock, hallelujah
Demons and angels, all in one have arrived
Rock 'n roll angels bring thyn hard rock, hallelujah
In God's creation, supernatural high

[Verse 2]
The true believers thou shall be saved
Brothers and sisters, keep strong in the faith
On the day of Rockoning it's who dares, wins
You will see the jokers soon'll be the new kings

[Pre-Chorus]
All we need is lightning with power and might
Striking down the prophets of false
As the moon is rising, give us the sign
Now let us rise up in awe

[Chorus]
Rock 'n roll angels bring thyn hard rock, hallelujah
Demons and angels, all in one have arrived
Rock 'n roll angels bring thyn hard rock, hallelujah
In God's creation, supernatural high

[Bridge]
Wings on my back, I got horns on my head
My fangs are sharp and my eyes are red
Not quite an angel or the one that fell
Now choose to join us or go straight to Hell
Hard rock, hallelujah!
Hard rock, hallelujah!
Hard rock hallelujah!
Hard rock, yeah!

[Chorus]
Rock 'n roll angels bring thyn hard rock, hallelujah
Demons and angels, all in one have arrived
Rock 'n roll angels bring thyn hard rock, hallelujah
In God's creation, supernatural high
Rock 'n roll angels bring thyn hard rock, hallelujah
Rock 'n roll angels bring thyn hard rock, hallelujah

[Outro]
Hard rock, hallelujah!
Hard rock, hallelujah!"
