Song,English Lyrics
Dan najlepših sanj,"The day of the most beautiful dream
A sleepy sun tells me that you are here
And the moon above me greets me in a dream
The first blossom and May's first sky
The most beautiful gardens are hidden in love
Because this is the day of the most beautiful dream
That will last forever
A heartbeat leads me to the place
Where love is real
And if someone steals my love
Steals my heart
But with no heart, no one can be in love
The first blossom and May's first sky
The most beautiful gardens are hidden in love
Because this is the day of the most beautiful dream
That will last forever
A heartbeat leads me to the place
Where love is real
Because this is the day (of the most beautiful dream)
That will last forever
A heartbeat leads me to the place
Where love is real
And if someone steals my love
Steals my heart
But with no heart, no one can be in love
But with no heart, no one can be in love"
De eerste keer,"The first time
Nana nana nana...
Nana nana nana...
Nanana nanana nanana...
Nana nana...
I was utter surprised when you called me
After such a long time
My heart suddenly skipped a beat
Oh, and you sounded still the same
And the girl within me
Brought the undermost up, just like that
Oh, it's so long ago
Long ago
Long ago
It was like the first time
We hit it off immediately
Time stood still for a moment
I thought again: ""Yes, I do""
It was like the first time
We hit it off immediately
Time stood still for a moment
I thought again: ""Yes, I do""
""Want something with you""
Hey, back then I thought you were great
I was madly in love with you
Very macho and against everything
Oh, and what you never knew
I loved you very much
But actually I was very shy then
Oh, it's so long ago
Long ago
Long ago
It was like the first time
We hit it off immediately
Time stood still for a moment
I thought again: yes, I do
It was like the first time
We hit it off immediately
Time stood still for a moment
I thought again: yes, I do
Want something
Where shall we meet and see each other again soon?
Come on, we'll pick it up just like the first time
Whoa, yeah
It was like the first time
We hit it off immediately
Time stood still for a moment
I thought again: yes, I do
It was like the first time
We hit it off immediately
Time stood still for a moment
I thought again: yes, I do
Like the first time"
Liefde is een kaartspel,"(Na nanana nana...)
(Na nana... na nana...)
(Na nanana nana...)
(Nanana nana na...) You had plenty of charms
Burning I knew what you did
But my skin was longing
For those wild hands
I was just upset Even though I saw you standing with others
Even though you ran off with them
I wanted to and would get you
Run you through with my sword
Although I was playing with fire Love is a cardgame with jokers and pokers
Love is a match of giving and taking
Love is a cardgame of queens and kings
Love is a game of chance for winners just like you Passion won from tenderness
Fury from cosiness
Did you want to devour me
Without committing yourself?
You'll never get rid of me again Even though you like to go your own way
Leaving you doesn't scare me anymore
I want to and will get you
Run you through with my sword
Although I'm still playing with fire Love is a cardgame with jokers and pokers
Love is a match of giving and taking
Love is a cardgame of queens and kings
Love is a game of chance for winners just like you You and me, you or me
You with that what's-her-name, it's enough
Don't you play, do you play?
Play your game, you're the king of hearts Love is a cardgame with jokers and pokers
Love is a sparring game of giving and taking
Love is a cardgame of queens and kings
Love is a game of chance for winners just like us"
The Voice,"I hear your voice on the wind
And I hear you call out my name

""Listen my child,"" You say to me,""I am the voice of your history
'Be not afraid come follow me. Answer my call and I'll set you free.""

I am the voice in the wind and the pouring rain
I am the voice of your hunger and pain
I am the voice that always is calling you
I am the voice, I will remain

I am the voice in the fields when the summer's gone;
The dance of the leaves when the Autumn winds blow
Ne'er do I sleep throughout all the cold Winter long
I am the force that in Springtime will grow

I am the voice of the past that will always be;
Filled with my sorrows and blood in my fields
I am the voice of the future
Bring me your peace
Bring me your peace and my wounds they will heal

I am the voice in the wind and the pouring rain
I am the voice of your hunger and pain
I am the voice that always is calling you
I am the voice

I am the voice of the past that will always be
I am the voice of your hunger and pain
I am the voice of the future
I am the voice
I am the voice
I am the voice
I am the voice"
Niin kaunis on taivas,"So beautiful is the sky
So beautiful is the sky, beautiful is earth
We walk the night in the shine of stars
When we reach the beach hand in hand
I only want to be close to you
Every second, which I may be with you
Every minute, I feel more and more surely
Eternal love, our common destiny
Like a sweet dream it is
So beautiful is the sky, beautiful is earth
We walk the night in the shine of stars
When we reach the beach hand in hand
I only want to be close to you
Every second, which I may be close to you
Every minute, I feel better and better
Power of love feelings beats for us
Like a sweet dream it is, is
So beautiful is the sky, beautiful is earth
We walk the night in the shine of stars
When we reach the beach hand in hand
I only want to be close to you
So beautiful is the sky, beautiful is earth
We walk the night in the shine of stars
When we reach the beach hand in hand
I only want to be close to you
I only want to be close to you
I only want to be close to you"
Sjúbídú,"Shoobe-doo
(Shoobe-doobe doo)
Louis he sang alot shoobe-doo
Sarah and Ella too
Frankie he sang ""New York, New York""
And shoobe-doo, shoobe-doo
Did you hear Sammy, shoobe-doo?
Didn't Nat Cole sing along?
D'you remember Elvis singing ""Love Me Tender""?
And shoobe-doo, shoobe-doo
Shoobe-doo, shoobe-doo
People understand it even on Skagaströnd and Timbuktu
Shoobe-doo, shoobe-doo
In the whole world, all together shoobe-doo
Dizzy he adored shoobe-doo
Adorably did few tones
And Billie Holliday on a late night sang much
Shoobe-doo, shoobe-doo
Shoobe-doo, shoobe-doo
People understand it even on Skagaströnd and Timbuktu
Shoobe-doo, shoobe-doo
In the whole world, all together shoobe-doo
The tones' language in every soul
Sung with the feeling in our heart
No matter where, the singing will go
Gliding on it's wings through space
(Shoobe-doo, shoobe-doo) Shoobe-doo
People understand it even from Skagaströnd to Timbuktu
Shoobe-doo, shoobe-doo
(Shoobe-doobe-doo) Shoobe-doobe-doo"
Chcę znać swój grzech...,"Look, how all of this changes me
I feel that fear rules my life
Every night, when I ask you questions
You hide your face again
Do I really have to live like this? Take me where nobody will find me
After I have promised to love you
Every night, when I want you
You hide your face again
Was it meant to be like this? If so
Before you punish me
I want to know my sin
Only once
Before I lose you
I want to know my sin Every night, when I want you
You hide your face again
It's so hard for you to show anything Yes, yes, to give me something
(Before you punish me)
(I want to know my sin)
Only once
Before you punish me
I want to know my sin Only once
Before you punish me
I want to know my sin
The last time
Before I lose you
I want to know my sin My sin"
Za našu ljubav,"I'd give it all, everything in the world
To have you beside me
To have your arms around me
My love To have you wake me up in the morning
With your warm lips
To have your hands touch mine
Stealing me away from dreams The night is long when I'm without you
And every day, as if I'm dying
But I know one thing, I love you
And will wait hundred years I can't be without you, I know
I'm living for only one day
For only one night, made of dreams
Only for our love, I live I can't be without you, I know
I'm living for only one day
For only one night, made of dreams
Only for our love, I live"
Kým nás máš,"I know that I am not complete
That I'm missing one face and a piece of hope
I still believe in some things, but there's only a few
I know that love exists
Love is strong, it tests us
Whether or not we can handle a story of passion
So, please help so that I can find you
If I have you As long as you have us, protect us
Protect every single tone
As long as you have us, protect us
Light the way when the dreams wander, lost, in the darkness Sometimes I am cruel
Just like anyone whose dreams have died long ago
Forgetting, too, I guess, could purify me
And burn the shadow in my soul Love is strong, it tests us
Whether or not we can handle a story of passion
So, please help so that I can find you
If I have you As long as you have us, protect us
Protect every single tone
As long as you have us, protect us
Light the way when the dreams wander, lost, in the darkness… As long as you have us, protect us
Protect every single tone
As long as you have us, protect us
Light the way when the dreams wander, lost, in the darkness… As long as you have us, protect us
Protect every single tone
As long as you have us, protect us
Light the way when the dreams wander, lost, in the darkness… As long as you have us, protect us
Protect every single tone
As long as you have us, protect us
Light the way when the dreams wander, lost, in the darkness… As long as you have us, protect us
Protect every single tone
As long as you have us, protect…"
Den vilda,"The winter is lowering its veil and is tucking in the houses
The fire in the tavern warms us and the food and the jugs
There he dances with the wild one
They are dancing like whirls in a waterfall
Filled with pride and willpower
Dancing like whirls in a waterfall But rumours are spreading among the cottages
While snowflakes are falling
The stars are sparkling against the ice like clear crystals
There he runs away with the wild one
They are rushing like whirls in a waterfall
Filled with pride and willpower
Rushing like whirls in a waterfall The carriage is disappearing in the night
And the snow becomes snowdrifts along the road
The sound of hoofs are still echoing in the mountains
Playing carefreely like a waterfall The night is lowering its veil and erasing the traces
Wherever they are, they're strong like the stream in springtime
There he dances with the wild one
They are dancing like whirls in a waterfall
Filled with pride and willpower
Dancing like whirls in a waterfall Filled with pride and willpower
Dancing like whirls in a waterfall"
Mana mou (Μάνα μου),"What should I call you, my joy, grieving joy?
An island in the sun is waiting for us
A wide door that opens in my soul
I sing to you and you shine, my sunrise Motherland
My sweet homeland, lead to me
Your dreams, ah motherland
Into the depths of my heart Show me
Your beauty, my Aphrodite
The wave rolls into my house
I bend my head in worship You are a sequin in the day, the eye of the sun
A nightingale on slumber's pathway
A spring of honey and fairy tales
You are a longing that wants and tells the truth Motherland
My sweet homeland, lead to me
Your dreams, ah motherland
Into the depths of my heart Show me
Your beauty, my Aphrodite
The wave rolls into my house
I bend my head in worship Tam tabadababam tabababadam…
Tabadam tabadam tabadam tabadabadabadam…
Tam tabadababam tabababadam…
Tabadam tabadam tabadam tabadabadabadam… Tam tabadabadam tabadabadam…
Tabadam tabadam tabadam tabadabadaba…
Tabadabada… tabadabada…
Tabadabadabadabadabadabadam… Motherland
My sweet homeland, lead to me
Your dreams, ah motherland
I bend my head in worship"
Dinle,"The days don't pass on without you
and my nights are lonely
Ah my love, Where are you and who are you with?
I can't dare to ask you, so listen! I love you without asking if there is an end to this crazy love
and I would find you before the pain goes, the night ends, and
find you without going out I know you without asking if you have a name, or if we meant to be
and i love you before it s heard and known by people, before I smile at them (should have asked) if got a name?
(really) if we are meant to be?
(should have known) if there is an end?
(Quietly) I love you"
San Francisco,"It still feels like yesterday
When everybody was singing ""Make love, not war""
And the whole world had longer hair
It feels like it was yesterday When being brother and sister was in
California dreamin'
The big questions and an opend mind
The answer was blowin' in the wind, oh... A time of love in San Francisco
The dream of peace, the spring of a teenage generation
No guns, no war, no disco
Just beautiful flowers in your hair When everybody was surfin on a good vibration
And the USA got their man on the moon
And Jimi Hendrix was playing with fire and passion
In Woodstock for a new generation, yeah When it was good to be young
Life had more time
And the the whole world had longer hair
It feels like it was yesterday, yeah, yeah A time of love in San Francisco
The dream of peace, the spring of a teenage generation
Ooh yeah... no guns, no war, no disco
Just beautiful flowers in your hair John Lennon's song was heard around the world:
""Love, love, love""
The message was that love sets everyone free
And we didn't let it pass by A time of love in San Fran...
A time of love in San Francisco
The dream of peace, the spring of a teenage generation
Ooh yeah... no guns, no war, no disco
Just beautiful flowers in your... Just beautiful flowers in your hair
Oh yeah"
One Step,"The night is casting a shadow and it's mine
Your pillow untouched, I'm still here
Bad lovin’
Bad man, bad lovin’ (Bad)
Our highway hasn't had any traffic in a long time
You're of lesser importance from now on, I don't want this anymore
Not like this, I don't want it like this - just One step forward, two steps back
One step too far, babe, and I will be gone
Love ain't no dishonored check - bad man Oh ... when it comes to sex, you're as quick as the starship Enterprise
You put me on the back burner with the speed of light
Not like this, I don't want it like this - just One step forward, two steps back
One step too far, babe, and I will be gone
Love ain't no dishonored check - bad man Oh whoa whoa ... one step forward, two steps back
One step too far, babe, and I will be gone
Love ain't no dishonored check - bad man
Bad man Not like this, I don't want to be with you like that Oh year...
(One step forward, two steps back)
Love ain't no dishonored check - bad man Love ain't no dishonored check
(Bad man) Oh... (One step forward, two steps back)
One step forward, two steps back
Two steps back, ow...
One step forward, back to me"
Mysterious Woman,"I saw you at an airport, ticket in your hand
I got a feeling in my heart I didn't understand
Something in the way you were, something foreign in your eyes
Made me wish that I could share one moment of your life

Mysterious woman, I wonder, did you see
The kind of spell you put on me?
Mysterious woman, I wish I could find the key
To the kind of spell you put on me

The room was full of faces but you stood out from the crowd
People going places far away beyond the clouds
Were you from the streets of Paris, or the coast of Italy?
Or were you from as far away as the gulf of Araby?

Mysterious woman, I wonder, did you see
The kind of spell you put on me?
Mysterious woman, I wish I could find the key
To the kind of spell you put on me

Did I imagine you smiled
Or were my thoughts going wild?

Suddenly you were going, the speaker called your plane
There was no way of knowing if I'd ever see you again
But this brief, so brief encounter will always stay with me
I will always treasure the bittersweet memory

Mysterious woman, I wonder, did you see
The kind of spell you put on me?
Mysterious woman, it'll always be a mystery
The kind of spell you put on me"
Zbudi se,"Somewhere at the town's end, an old house sleeps
Behind the ninth window, a girl is awake
The golden moon is counting her tears
The night hides them, just like they're stars By the empty table, every night she waits
Her pure spirit's calling out for help:
''Good fairies, where are those lips""
""That are magic when lovers kiss?'' Wake up, good prince
I would like to give you all
My dreams and my youth
Break the spell of the fairy tale Wake up, good prince
I would like to give you all
My dreams and my youth
Break the spell of the fairy tale Wake up, good prince
I would like to give you all
My dreams and my youth
Break the spell of the fairy tale Wake up A new morning, a morning dawning over tears
A heart sees, sees all that the eye can't see"
Dentro di me,"Inside of me
Man, look within, what moves you
And makes you feel a bit lost
In this enormous universe
Made of so many things
Too many words, spoken to speak
Never to be understood
What keeps you away
From what's within reach
But unreachable
Inside of me, I make room because
Inside of me, I need you
Inside of me, inside of me
I keep a place for you
Who needs me
You need me
Man, open your mind
Don't hesitate to unveal your good and bad sides
Also errors have their value
They help one to grow
Inside of me, I make room because (because)
Inside of me, I need you
Inside of me, inside of me
I keep a place for you
Who needs me
Inside of me, I take a breath because
Inside of me, I've been running to you
Inside of me, inside of me
I want you even when
You're different to me
You're different to me
Man, how many misunderstandings
What reasons keep us so far away from each other
When within reach
You've got the incredible?"
Niemand heeft nog tijd,"Ooh… yeah, yeah…
Ooh ooh ooh ooh ooh…
Ooh ooh ooh…
Where do you have to go with all your questions
When no one wants to listen?
What do you do with your empty days?
You’d rather stop the time for a moment Until you’ve found someone
Who has ten minutes for you
Well, it can take a long time
You wish you’re still alive by then Because no one has time anymore
Only the time to hurry up
No, no one has time anymore
Only to think about himself No, no, no one has time anymore
No one has time anymore You don’t understand anything of the world
The time is expensive, because time is money
Standing still is out of the question
So tempo, that’s what matters Although the people are still giving
They don’t linger over their feelings
By computer they can quickly
Deposit something for the good cause Because no one has time anymore
Only the time to hurry up
No, no one has time anymore
Only to think about himself No, no, no one has time anymore
No one has time anymore No one has time anymore
No one has time anymore
No one has time anymore
No one, no, no Will we ever realise
There’s much more than the factor time?
Stand still for a moment, give in to the temptation
To have some more sensitivity Because no one has time anymore
Only the time to hurry up
No, no one has time anymore
Only to think about himself No, no, no one has time anymore
(No one has time anymore)
Only the time to hurry up
(No one has time anymore) No, no one has time anymore
(No one has time anymore)
Only to think about himself
(No one, no, no) No, no, no one has time anymore
(And I still have to do this)
(And I still have to do that)
(And I still have to do this way)
Only the time to hurry up (And I still have to do that way)
No, no one has time anymore
Only to think about himself
No, no, no one has time anymore"
Fiumi di parole,"Rivers of words
Ah... ah... ah...
I'm waiting for a thousand excuses from you, as always
You're a river of words, where I drown too
How great you are, but this talking from a talk show
What does it have to do with us?
I'm trying the only remedy that I've been using for a while
I close my ears to the story that I've heard before
It's the way you are, by now I should limit myself
Saying yes to you
Rivers of words
Rivers of words between us
Sometime they will take us away
I'll give you my heart
I'll give you my heart, if you want
If you can, speak to it now
Speak to it now
Ah...
You're shouting in a way that I don't understand anymore
I'm losing your respect, saying goodbye would be better
Like in a movie, the classic movie
Where she will do something foolish
Rivers of words
Rivers of words between us
Sometime they will take us away
I'll give you my heart
I'll give you my heart, if you want
If you can, speak to it now
I'd like to hold a picture
Feeling how it's going inside me
A silence from you with more complicity
I'd like...
Rivers of words
Rivers of words between us
Sometime they will take us away
I'll give you my heart
I'll give you my heart, if you want
If you can, speak to it now
Rivers of words
Rivers of words between us
Sometime they will take us away
I'll give you my heart
I'll give you my heart, if you want
If you can, speak to it now
Speak to it now
(Rivers of words)
(Rivers of words between us) Oh...
I'll give you my heart
I'll give you my heart, if you want
If you can, speak to it now
Rivers of words"
Sin rencor,"Today is a sad day, my love
We realised we came to the end
End of a road, end of a love
And we both realised it
It was wonderful to spend
Those unforgettable, happy days
Our flame dies out, our love dies out
But our heart will always feel… That you’re someone special
That no one will be the same
That’s why I ask you That there won’t be any grudge if we meet again, love
There were so many happy days
You gave me so much love
Swear it to me, without a grudge I wish you all the best
May the things we learnt help us both
Goodbye, sweetheart, you know that
I’ll feel for you… That you’re someone special
That no one will be the same
That’s why I ask you That there won’t be any grudge if we meet again, love
There were so many happy days
You gave me so much love
Just swear to me, please May there never be grudge if we meet again, love
There’ll always be something special between you and me
That between us both everything will stay
Without a grudge, without a grudge If you search for a friend
I’ll be by your side Between you and me
May there never be a grudge
There’ll always be something special between you and me
Without a grudge"
Zeit,"Sometimes, time slipped through my fingers
Sometimes, it just didn't seem to pass by
But time heals many wounds
And in some difficult hours
I dreamt of turning back time, because... Time, time, only where does time go?
Time, time, when's the day?
Who knows what's yet to happen?
Who knows where this road will take me?
Tell me, where are you? Time, time, what else will I have to face
At this time? I prayed for some happiness
And cried over the lost time
But nobody here could give me an answer
To one specific question:
Can we be happy in peace together? No Time, time, only where does time go?
Time, time, when's the day?
Where will I be tomorrow?
Will I end up alone after all?
And where are you? (Time, time, only where does time go?)
Time goes by so fast
(Time, time, when's the day?)
The wind changes so fast Who knows what's yet to happen?
Who knows where this road will take us?
Tell me, where are you? Time, time, no matter how long this road is
To walk it, I only need
A little time"
Ale jestem,"I open my eyes: the world becomes
Heaven above me, in front of me - an orchard
The fragrance of green apples and their taste
And everything so simple like this. You have to truly live,
to cheat time.
You have to live as beautifully as possible,
You only live once.
You have to live in awe:
Dream, love and dream*
You have to cheat time
To truly live. I am a grain of sand in an hourglass
A lost little boat among the reefs,
A drop of rain,
A thinking blade in the grass
... but I am! I'm a spark and gust of wind
A streak of light that runs to the stars,
I'm a moment, that wants to overtake time
... but I am! I hold out my ears: I listen to how
the music is playing in me, in the music - me!
Before the great silence engulfs me,
I want to sing out, to sing out that: You have to truly live,
to cheat the racing time.
It's beautiful to live in awe,
Life happens only once. I am a grain of sand in an hourglass
A lost little boat among the reefs,
A drop of rain,
A thinking blade in the grass
... but I am! Life is a way, life is a dream...
And what happens after?... I don't know, and I know...
Don't ask about anything, you'll find out when,
The road will end, life and dreams. I am a grain of sand in an hourglass
A lost little boat among the reefs,
A drop of rain,
A thinking blade in the grass
... but I am! I'm a spark and gust of wind
A streak of light that runs to the stars,
I'm a moment, that wants to overtake time
... but I am!"
Keelatud maa,"Why do you always hide yourself in yesterday?
When you disappear there you’ll stay disappeared
Finding you for the hundredth time already
The flaws between us have become cracks, I see
But if I give up, you’ll be lost for good
On this forbidden land I feel myself again
I’m looking for you and again there’s a border between us
This forbidden land hides you from me like fog
Sometime it will disappear from our way When I can’t find you
And while looking even a day falls short
You may lie down next to me
You won’t recognise me, won’t hear, won’t see
Still I understand you, you linger in yesterday again On this forbidden land I feel myself again
I’m looking for you and again there’s a border between us
This forbidden land hides you from me like fog
Sometime it will disappear from our way I’ll bring you from the forbidden land
I promise you, I will fetch you (This forbidden land, I feel myself again)
 From the forbidden land
(I’m looking for you and again there’s a border between us)
Forbidden land
(This forbidden land)
Can’t keep you
(Can’t keep you forever)
The forbidden land will vanish from between us"
Goodbye,"Calm me down with pictures from good movies
Brave me with a line from good songs
I can't see, my eye's devoid of shine
I only hear the two words, which mean it's over Goodbye, oh oh oh oh oh... goodbye love
Goodbye, oh oh oh oh oh... goodbye love
Goodbye Look for me in your memories
Find me in the dawn of a new day
But please don't sigh falsely
Don't say the two words which mean it's over Goodbye, oh oh oh oh oh... goodbye love
Goodbye, oh oh oh oh oh... goodbye love
Goodbye I can't see, my eye's devoid of shine
Oh... I only hear the two words which mean it's over Goodbye, oh oh oh oh oh... goodbye love
Goodbye, oh oh oh oh oh... goodbye love
Goodbye, oh oh oh oh oh... goodbye love
Goodbye, oh oh oh oh oh... goodbye love
Goodbye"
Antes do adeus,"Before our goodbye, the adventure
Before our goodbye, the madness
Before our goodbye, the tenderness
Swear to the moon and to the song of the sea, for Before our goodbye (your verses, your woes), I'll improvise (you could here them all through the street)
Before our goodbye (in the farthest reaches of the wind), in my smile (on the other side of the moon)
Before our goodbye (your dreams were mine), paradise (my life was yours)
We read the signals (before saying goodbye) and were even immortal And at night, a river
Where the sun set
My body, a ship on the tides of your voice
Sounds to the challenge
Reverberating for us
And the morning light was magical Before our goodbye (you returned my poets), the undone (I saw spite in your eyes)
Before our goodbye (there were secret words), the suspicious (on the other side of love)
Before our goodbye (you still hid, you witch), the imperfect (a book by Saramago)
Two-way sharing (an Abrunhosa CD) to be remembered later, but The blue of the sky
Stopped being true
The city's magic perished in a sea of greys
In my eyes, the shadow
Of anxiety was born
And the pain has silenced all the music
(x2) After our goodbye,
the longing"
Bara hon älskar mig,"I saw a girl dancing through the night.
Smiling so all hearts stop.
Though I have walked through fire and water,
She touches me like no other.
And if she falls for me, everything changes.
If she sees that the man she's waiting for,
Is me,
Then maybe it can be her and I. If only she loves me,
I could have the angel that my heaven lacks.
If only she loves me,
I'd become that man in her dreams.
Everyone else has missed out.
She can never love without me. I do not dare to meet her gaze.
See, my heart is burning.
How will I ever get this girl?
I wonder before she disappears.
Though other men would die for her,
I understand that nobody sees,
What she wants.
That it's only me. If only she loves me,
I could have the angel that my heaven lacks,
And the only woman I could ever want.
If only she loves me,
I'd become that man in her dreams.
Everyone else has missed out.
She can never love without me. I have nothing else to live for
Nothing is worth anything until we find each other.
We will become one. If only she loves me,
I could have the angel that my heaven lacks,
And the only woman I could ever want.
If only she loves me,
I'd become that man in her dreams.
Everyone else has missed out.
She can never love without me. If only she loves me,
I'd become that man in her dreams.
She can never love without me."
Horepse (Χόρεψε),"Slowly, slowly
Like the flame's figure, you cast your spells
Shyly, shyly
You close your moon-shaped eyes Dance again to the beat of my heart
And like a caravan I'll follow the stars
Dance, pearl of the desert
And through your body I'll resurrect myself Dance again to the beat of my heart
And like a caravan I'll follow the stars
Dance, pearl of the desert
And through your body I'll resurrect myself Softly, softly
I saw the night melting
Palely, palely
She laid her naked hands upon me Dance again to the beat of my heart
And like a caravan I'll follow the stars
Dance, pearl of the desert
And through your body I'll resurrect myself Dance again to the beat of my heart
And like a caravan I'll follow the stars
Dance, pearl of the desert
And through your body I'll resurrect myself Dance again to the beat of my heart
And like a caravan I'll follow the stars
Dance, pearl of the desert
And through your body I'll resurrect myself"
Let Me Fly,"Each time I hear the music play
It makes me feel that way
The memories we once shared
Come back inside me

And when I hear that same old song
Throughout the whole night long
The pains that we've been through
All fade away

Let me fly and I will reach way up high
I will climb the steps that lead to the sky
Where the clouds caress your face with my tears
Let me try - I can fly

Let me hear the songs that I never played
I will find the keys that open the gate
Of my dreams, which light the flame in my life
If they die, I can't fly

Hahah, hahahah
Hahah, hahah, hahah

And when the music stops to play
The thrill soon fades away
Dark shadows from the past
Will haunt my day

Let me fly and I will reach way up high
I will climb the steps that lead to the sky
Where the clouds caress your face with my tears
Let me try - I can fly

Let me hear the songs that I never played
I will find the keys that open the gate
Of my dreams, which light the flame in my life
If they die, I can't fly

Till I die, let me fly"
"Miért kell, hogy elmenj?","Why do you have to go?
How should I tell you that it was all real
Anything I should ask, you would not reply
You took another road, keep waiting for somebody new
Why do you have to go?
We could start all over
I feel I could do anything for you
A dream escorted me, then ended just like that
How should I tell you that it was all but a feeling
In the still of the night, you can still hear me sigh
All through your dreams, I'd watch over you
Why do you have to go?
We could start all over
I feel I could do anything for you
A dream escorted me, then ended just like that
Why do you have to go?
We could start all over
I feel I could do anything for you
A dream escorted me, then ended just like that
Why do you have to go?
We could start all over
A dream escorted me, then ended just like that
Like that"
Primadonna (Примадонна),"At the opera, when the diva plays a romantic role
Sad or happy
She is always 20 years old, eternally
The maestro conducts, Prima Donna
The orchestra that follows you, Prima Donna
As one follows a woman And the audience is conquered, Prima Donna
The audience applauds you, Prima Donna
And required this woman who ignites But in the life of a dive, the man that she loves does not love her
Because he loves a 20 year old singer in the chorus
That breaks her heart Poor Pagliacci in tears, Prima Donna
Laugh through the pain, Prima Donna Sing or shout if you believe, Prima Donna
Sing while wearing your cross, Prima Donna
Jealousy that grips you
That tears out your guts Sing like you never have, never performed as a singer
For the man that you loved, sing as an injured woman, go and sing
The audience cries out Encore, give them all of yourself
Your voice, your tears, your body, make them love again Sing! Primadonna! Encore! Encore!"
Stemmen i mit liv,"""This is the Telephone Information Service, hello""
""Yes, hello, this is Kaj, may I talk to that sweet one?""
""What sweet one?""
""Well the voice of my life"" (You tun me on and I can't reach you cause)
(You're so far from me) I feel lonely because I miss someone
To share my life with, it's becoming a problem
I call you up, but can't get the words out
When I get enough nerve up, well the receiver has been put down It's two o'clock, I've tried several times
I can't reach you, the answer remains the same
Why are you gone, when I'm right here?
Why am I alone? I feel so weird I overshoot the mark, every time I think I am aiming
I feel so certain, but the contact between us fails
Feel like shit, I get drunk
All this to forget you and your voice (You turn me on and I can't reach you) Cause
(You're so far from me) You're the voice of my life
(I call you up, wish I could see you) Cause
(You're so far from me) Yeah, you're the voice of my life I got fired from my job for calling during working hours
It couldn't stop me, I had to hear you all the time
Ever since then my mobile bill has increased
I own people money, and my life is kind of falling apart Even though I'm well raised I can't help myself
The phone is near by, the number cause me no trouble
To remember, cause it's just one, one and eight
Didn't talk to you today, wish I had the time First it was Molly, then it was Lone, then it was Lis
Then it was Mette, then it was Helle, then it was Kis
But the girl I wanted to talk to wasn't by the phone
I called about twenty times, thought I had run out of luck Cause just one single answer could safe my day
But there are no bright hopes, not the answer I want
In the end I collapsed with the phone in my hand
With the dream of you, your voice in spirit (You turn me on) Yeah (and I can't reach you) Cause
(You're so far from me) You're the voice of my life
(I call you up, wish I could see you) Cause
(You're so far from me) Yeah, you're the voice of my life However I must pull myself together, friend
Grab my phone and try again
I pressed one, one, eight, wishing, hoping
""This is the Telephone Information Service"", and I was baffled ""Hi, it's Kaj, you...""
""You have called the Telephone Information Service,
At he moment there is a brief waiting period for about 20 seconds
The waiting period is free""
""I love you"" (You turn me on and I can't reach you) Cause
(You're so far from me) You're the voice of my life
(I call you up, wish I could see you) Cause
(You're so far from me) Yeah, you're the voice of my life (You turn me on)"
Sentiments songes,"Often, we ride the roundabout in the wrong direction
We discover love, but without the fine manners
We  make up stories to get high
We mask our memory to avoid all thoughts It's like the water in a river, it flows 	incessantly
Everything we had once found beautiful got broken over time
It doesn't really hurt, we only feel left out
Of the starlight and we don't want to give anymore Feelings, useful dream feelings
Suitable for fragile words of love
Feelings, sentimental sufferings
As light as a hush
A game of tears for sleepless nights Affectionate assumptions
Oh... It's like the weapon at a crime scene, we need the fingerprint to prove
To prove whether we were good or bad to each other
We display everything that is ugly
Nobody remembers what was good And this creates strangely precise memories
Things we can write down or tidy up in our lives
We don't really know anymore what is wrong and what is right
But what really matters is that we've done all this Feelings, useful dream feelings
Suitable for fragile words of love
Feelings, sentimental sufferings
As light as a hush
A game of tears for sleepless nights Oh, feelings"
Probudi me,"Wake me up I don't need any presents or flowers to begin my day
No, I need something bigger to chase the dream away
No, no, don't need any rolls, no coffee, sugar or cream
I just want real love, someone dear to me Oh, just a few more minutes
I'm not asking for much, please
Tell me over and over again:
""I love you the most"" Chorus:
And just, oh, oh, oh
Kiss me here
And slowly, oh, oh, oh
Wake me up
And just, oh, oh, oh
Kiss me here
And slowly, oh, oh, oh
Wake me up I don't need any fruit or cakes to sweeten my day
No, I need something stronger to chase the dream away Oh, just a few more minutes
I'm not asking for much, please
Tell me over and over again:
""I love you the most"" Chorus:
And just, oh, oh, oh
Kiss me here
And slowly, oh, oh, oh
Wake me up
And just, oh, oh, oh
Kiss me here
And slowly, oh, oh, oh
Wake me up
(Wake me up) Kiss me now
Wake me up
Touch me now
Seduce me
Kiss me now
Wake me up
Want me now
Wake me up Chorus:
And just, oh, oh, oh
Kiss me here
And slowly, oh, oh, oh
Wake me up
And just, oh, oh, oh
Kiss me here
And slowly, oh, oh, oh
Wake me up Oh, I need you, need you now, wake me up"
